"fieldName","description","dataType","units","downloadPkg"
"priPrecipBulk","Bulk primary precipitation","real","millimeter","basic"
"priPrecipExpUncert","Expanded uncertainty for primary precipitation","real","millimeter","basic"
"priPrecipStabilityQF","Stability quality flag indicating whether or not the strain gauges were stable for a measurement period, (0 = stable, 1 = unstable, -1=NA (i.e., couldn't be run))","real",NA,"expanded"
"priPrecipHeaterQF","Primary precipitation heater quality flag indicating whether the heater was operational for a measurement period, (0 = off, 1 = on, -1=NA (i.e., couldn't be run))","real",NA,"expanded"
"priPrecipaveragingQF","Quality flag indicating how the precipitation value was calculated from the three strain gauges (0 = average of all three strain gauges; 1,2, and 4 = average of two of the three strain gauges; 3,5, and 6 = only one strain gauge was used; 7 = average is determined according to averaging2QF), detailed in NEON.DOC.000654","real",NA,"expanded"
"priPrecipaveraging2QF","Quality flag indicating how the precipitation value was calculated from the three strain gauges if averaging QF = 7 (0 = average of all three strain gauges; 1,2, and 4 = average of two of the three strain gauges; 3,5, and 6 = only one strain gauge was used; 7 =no precipitation value was calculated for that time period), detailed in NEON.DOC.000654","real",NA,"expanded"
"priPrecipRangeQF","Primary precipitation quality flag for the range test, which indicates whether a datum exceeds a realistic value, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e, couldn't be run))","real",NA,"expanded"
"priPrecipNullQF","Primary precipitation quality flag for the null test, which indicates a missing datum, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e, couldn't be run))","real",NA,"expanded"
