"uid","domainID","siteID","plotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","addDate","dropDate","identifiedDate","individualID","taxonID","scientificName","identificationQualifier","taxonRank","growthForm","samplingProtocol","measuredBy","identifiedBy","recordedBy","remarks","duplicateIndividualIDQF"
"F581811D84D9410E8076260A1C9610BC","D10","CPER","CPER_077",40.816895,-104.746203,"WGS84",2.1,1653.0,,"2014-03-15",,"2014-03-15","NEON.PLA.D10.CPER.06061","BOGR2","Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths",,"species","Graminoid","NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"1ECD6B70035A4D70BF83FAA59B28AB94","D10","CPER","CPER_077",40.817142,-104.746469,"WGS84",2.1,1653.2,,"2014-03-15",,"2014-03-15","NEON.PLA.D10.CPER.06062","HECO26","Hesperostipa comata (Trin. & Rupr.) Barkworth",,"species","Graminoid","NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"BD85A644E7F5440A8259778CEBF0D967","D10","CPER","CPER_077",40.817122,-104.746458,"WGS84",2.1,1653.1,,"2014-03-15",,"2014-03-15","NEON.PLA.D10.CPER.06063","THFI","Thelesperma filifolium (Hook.) A. Gray",,"species","Forb","NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"EE19EEF4AF254A709C25E6AE2D4709C9","D10","CPER","CPER_077",40.817152,-104.746466,"WGS84",2.1,1653.2,,"2014-03-15",,"2014-03-15","NEON.PLA.D10.CPER.06064","BOGR2","Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths",,"species","Graminoid","NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"F864194673EF4E2DB6DA279F657BF4D5","D10","CPER","CPER_077",40.817464,-104.746498,"WGS84",2.1,1653.7,,"2014-03-15",,"2014-03-15","NEON.PLA.D10.CPER.06066","THFI","Thelesperma filifolium (Hook.) A. Gray",,"species","Forb","NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"43A4BFE95C56411CABBEC6A5ED434FF3","D10","CPER","CPER_077",40.817444,-104.746508,"WGS84",2.1,1653.7,,"2014-03-15",,"2014-03-15","NEON.PLA.D10.CPER.06065","HECO26","Hesperostipa comata (Trin. & Rupr.) Barkworth",,"species","Graminoid","NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"9EB9ECB4F6AB4A87B628AF5511EA6E63","D10","CPER","CPER_077",40.817470,-104.746499,"WGS84",2.1,1653.8,,"2014-03-15",,"2014-03-15","NEON.PLA.D10.CPER.06067","BOGR2","Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths",,"species","Graminoid","NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"414B858C37114DA28FCC7ADF5804E4C4","D10","CPER","CPER_077",40.817601,-104.746439,"WGS84",2.1,1654.0,,"2014-03-15",,"2014-03-15","NEON.PLA.D10.CPER.06068","HECO26","Hesperostipa comata (Trin. & Rupr.) Barkworth",,"species","Graminoid","NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"5E59FB1218524748B0C1F35D9E7F8A31","D10","CPER","CPER_077",40.817607,-104.746432,"WGS84",2.1,1654.0,,"2014-03-15",,"2014-03-15","NEON.PLA.D10.CPER.06069","THFI","Thelesperma filifolium (Hook.) A. Gray",,"species","Forb","NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"0D9BA4364B21471CB04219796CCB34BA","D10","CPER","CPER_077",40.817570,-104.746446,"WGS84",2.1,1653.9,,"2014-03-15",,"2014-03-15","NEON.PLA.D10.CPER.06070","BOGR2","Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths",,"species","Graminoid","NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
