sampleID,Domain,SiteID,quarantinedYN,CollDate,Remarks
BART_006_23_28_ 3_Mineral_20140820,D01,BART,No,20140820,
BART_006_23_28_ 3_Organic_20140820,D01,BART,No,20140820,
BART_028_39_13_ 32_Mineral_20140820,D01,BART,No,20140820,
BART_028_39_13_ 32_Organic_20140820,D01,BART,No,20140820,
BART_028_41_30_ 27_Mineral_20140820,D01,BART,No,20140820,
BART_028_41_30_ 27_Organic_20140820,D01,BART,No,20140820,
BART_028_41_37_ 22_Mineral_20140820,D01,BART,No,20140820,
BART_028_41_37_ 22_Organic_20140820,D01,BART,No,20140820,
BART_033_21_6_ 12_Mineral_20140820,D01,BART,No,20140820,
BART_033_21_6_ 12_Organic_20140820,D01,BART,No,20140820,
BART_033_23_36_ 16_Mineral_20140820,D01,BART,No,20140820,
BART_033_23_36_ 16_Organic_20140820,D01,BART,No,20140820,
BART_033_39_3_ 37_Mineral_20140820,D01,BART,No,20140820,
BART_033_39_3_ 37_Organic_20140820,D01,BART,No,20140820,
BART_034_23_33_ 4_Mineral_20140820,D01,BART,No,20140820,
BART_034_23_33_ 4_Organic_20140820,D01,BART,No,20140820,
BART_034_41_23_ 30_Mineral_20140820,D01,BART,No,20140820,
BART_034_41_23_ 30_Organic_20140820,D01,BART,No,20140820,
BART_034_41_30_ 38_Mineral_20140820,D01,BART,No,20140820,
BART_034_41_30_ 38_Organic_20140820,D01,BART,No,20140820,
BART_002_23_33_ 17)Mineral_20140821,D01,BART,No,20140821,
BART_002_39_17_ 37_Mineral_20140821,D01,BART,No,20140821,
BART_002_39_2_ 27_Mineral_20140821,D01,BART,No,20140821,
BART_032_21_2_ 1_Mineral_20140821,D01,BART,No,20140821,
BART_032_21_2_ 1_Organic_20140821,D01,BART,No,20140821,
BART_032_21_8_ 11_Mineral_20140821,D01,BART,No,20140821,
BART_032_21_8_ 11_Organic_20140821,D01,BART,No,20140821,
BART_032_41_39_ 30_Mineral_20140821,D01,BART,No,20140821,
BART_032_41_39_ 30_Organic_20140821,D01,BART,No,20140821,
BART_001_21_4_15_Mineral_20140923,D01,BART,No,20140923,
BART_001_21_4_15_Organic_20140923,D01,BART,No,20140923,
BART_001_23_27_7_Mineral_20140923,D01,BART,No,20140923,
BART_001_23_27_7_Organic_20140923,D01,BART,No,20140923,
BART_001_41_38_23_Mineral_20140923,D01,BART,No,20140923,
BART_001_41_38_23_Organic_20140923,D01,BART,No,20140923,
BART_004_21_8_8_Mineral_20140923,D01,BART,No,20140923,
BART_004_21_8_8_Organic_20140923,D01,BART,No,20140923,
BART_004_39_8_40_Mineral_20140923,D01,BART,No,20140923,
BART_004_39_8_40_Organic_20140923,D01,BART,No,20140923,
BART_004_41_36_24_Mineral_20140923,D01,BART,No,20140923,
BART_004_41_36_24_Organic_20140923,D01,BART,No,20140923,
BART_006_23_38_6_Mineral_20140923,D01,BART,No,20140923,
BART_006_23_38_6_Organic_20140923,D01,BART,No,20140923,
BART_006_39_16_40_Mineral_20140923,D01,BART,No,20140923,
BART_006_39_16_40_Organic_20140923,D01,BART,No,20140923,
BART_006_41_34_40_Mineral_20140923,D01,BART,No,20140923,
BART_006_41_34_40_Organic_20140923,D01,BART,No,20140923,
BART_028_21_14_6_Mineral_20140923,D01,BART,No,20140923,
BART_028_21_14_6_Organic_20140923,D01,BART,No,20140923,
BART_028_39_14_30_Mineral_20140923,D01,BART,No,20140923,
BART_028_39_14_30_Organic_20140923,D01,BART,No,20140923,
BART_028_41_26_35_Mineral_20140923,D01,BART,No,20140923,
BART_028_41_26_35_Organic_20140923,D01,BART,No,20140923,
BART_004_23_33_6_Mineral_20141027,D01,BART,No,20141027,
BART_004_23_33_6_Organic_20141027,D01,BART,No,20141027,
BART_004_23_39_5_Mineral_20141027,D01,BART,No,20141027,
BART_004_23_39_5_Organic_20141027,D01,BART,No,20141027,
BART_004_39_2_21_Mineral_20141027,D01,BART,No,20141027,
BART_004_39_2_21_Organic_20141027,D01,BART,No,20141027,
BART_028_21_7_0_Mineral_20141027,D01,BART,No,20141027,
BART_028_21_7_0_Organic_20141027,D01,BART,No,20141027,
BART_028_41_24_31_Mineral_20141027,D01,BART,No,20141027,
BART_028_41_24_31_Organic_20141027,D01,BART,No,20141027,
BART_028_41_39_27_Mineral_20141027,D01,BART,No,20141027,
BART_028_41_39_27_Organic_20141027,D01,BART,No,20141027,
BART_001_21_14_6_Mineral_20141028,D01,BART,No,20141028,
BART_001_21_14_6_Organic_20141028,D01,BART,No,20141028,
BART_001_39_0_21_Mineral_20141028,D01,BART,No,20141028,
BART_001_39_0_21_Organic_20141028,D01,BART,No,20141028,
BART_001_41_23_36_Mineral_20141028,D01,BART,No,20141028,
BART_001_41_23_36_Organic_20141028,D01,BART,No,20141028,
BART_006_21_14_5_Mineral_20141028,D01,BART,No,20141028,
BART_006_21_14_5_Organic_20141028,D01,BART,No,20141028,
BART_006_21_26_38_Mineral_20141028,D01,BART,No,20141028,
BART_006_21_26_38_Organic_20141028,D01,BART,No,20141028,
BART_006_39_2_38_Mineral_20141028,D01,BART,No,20141028,
BART_006_39_2_38_Organic_20141028,D01,BART,No,20141028,
BART_006_23_30_13_Mineral_20141119,D01,BART,No,20141119,
BART_006_23_30_13_Organic_20141119,D01,BART,No,20141119,
BART_006_41_30_28_Mineral_20141119,D01,BART,No,20141119,
BART_006_41_30_28_Organic_20141119,D01,BART,No,20141119,
BART_006_41_39_22_Mineral_20141119,D01,BART,No,20141119,
BART_006_41_39_22_Organic_20141119,D01,BART,No,20141119,
BART_028_21_0_8_Mineral_20141119,D01,BART,No,20141119,
BART_028_21_0_8_Organic_20141119,D01,BART,No,20141119,
BART_028_21_19_9_Mineral_20141119,D01,BART,No,20141119,
BART_028_21_19_9_Organic_20141119,D01,BART,No,20141119,
BART_028_39_7_31_Mineral_20141119,D01,BART,No,20141119,
BART_028_39_7_31_Organic_20141119,D01,BART,No,20141119,
BART_004_21_5_15_Mineral_20141120,D01,BART,No,20141120,
BART_004_21_5_15_Organic_20141120,D01,BART,No,20141120,
BART_004_23_32_16_Mineral_20141120,D01,BART,No,20141120,
BART_004_23_32_16_Organic_20141120,D01,BART,No,20141120,
BART_004_41_36_35_Mineral_20141120,D01,BART,No,20141120,
BART_004_41_36_35_Organic_20141120,D01,BART,No,20141120,
BART_001_23_0_30_Mineral_20141121,D01,BART,No,20141121,
BART_001_23_0_30_Organic_20141121,D01,BART,No,20141121,
BART_001_39_27_31_Mineral_20141121,D01,BART,No,20141121,
BART_001_39_27_31_Organic_20141121,D01,BART,No,20141121,
BART_001_39_28_2_Mineral_20141121,D01,BART,No,20141121,
BART_001_39_28_2_Organic_20141121,D01,BART,No,20141121,
CPER_001_41_Mineral_25_ 38,D10,CPER,,20130701,1
CPER_001_41_Mineral_25_ 38,D10,CPER,,20130701,1
CPER_001_39_Mineral_9_ 26,D10,CPER,,20130701,1
CPER_001_39_Mineral_9_ 26,D10,CPER,,20130701,1
CPER_001_23_Mineral_22_ 2,D10,CPER,,20130701,1
CPER_001_23_Mineral_22_ 2,D10,CPER,,20130701,1
CPER_002_41_Mineral_22_ 37,D10,CPER,,20130701,1
CPER_002_41_Mineral_22_ 37,D10,CPER,,20130701,1
CPER_002_39_Mineral_9_ 22,D10,CPER,,20130701,1
