"","domainID","siteID","plotID","plotType","subtype","plotSize"
"81","D03","DSNY","DSNY_001","distributed","basePlot",1600
"82","D03","DSNY","DSNY_001","distributed","mammalGrid",8100
"83","D03","DSNY","DSNY_002","distributed","mammalGrid",8100
"84","D03","DSNY","DSNY_002","distributed","basePlot",1600
"85","D03","DSNY","DSNY_003","distributed","basePlot",1600
"86","D03","DSNY","DSNY_004","distributed","basePlot",1600
"87","D03","DSNY","DSNY_004","distributed","mammalGrid",8100
"88","D03","DSNY","DSNY_005","distributed","basePlot",1600
"89","D03","DSNY","DSNY_005","distributed","mammalGrid",8100
"90","D03","DSNY","DSNY_006","distributed","basePlot",1600
"91","D03","DSNY","DSNY_006","distributed","mammalGrid",8100
"92","D03","DSNY","DSNY_007","distributed","basePlot",1600
"93","D03","DSNY","DSNY_007","distributed","mammalGrid",8100
"94","D03","DSNY","DSNY_008","distributed","basePlot",1600
"95","D03","DSNY","DSNY_009","distributed","mammalGrid",8100
"96","D03","DSNY","DSNY_009","distributed","basePlot",1600
"97","D03","DSNY","DSNY_010","distributed","basePlot",1600
"98","D03","DSNY","DSNY_011","distributed","basePlot",1600
"99","D03","DSNY","DSNY_012","distributed","basePlot",1600
"100","D03","DSNY","DSNY_013","distributed","basePlot",1600
"101","D03","DSNY","DSNY_014","distributed","basePlot",1600
"102","D03","DSNY","DSNY_015","distributed","basePlot",1600
"103","D03","DSNY","DSNY_016","distributed","basePlot",1600
"104","D03","DSNY","DSNY_016","distributed","mammalGrid",8100
"105","D03","DSNY","DSNY_017","distributed","basePlot",1600
"106","D03","DSNY","DSNY_018","distributed","basePlot",1600
"107","D03","DSNY","DSNY_019","distributed","basePlot",1600
"108","D03","DSNY","DSNY_020","distributed","basePlot",1600
"109","D03","DSNY","DSNY_021","distributed","basePlot",1600
"110","D03","DSNY","DSNY_022","distributed","basePlot",1600
"111","D03","DSNY","DSNY_023","distributed","basePlot",1600
"112","D03","DSNY","DSNY_024","distributed","basePlot",1600
"113","D03","DSNY","DSNY_025","distributed","basePlot",1600
"114","D03","DSNY","DSNY_026","distributed","basePlot",1600
"115","D03","DSNY","DSNY_027","distributed","basePlot",1600
