"","domainID","siteID","plotID","plotType","subtype","plotSize"
"320","D01","BART","BART_001","distributed","basePlot",1600
"321","D01","BART","BART_001","distributed","mammalGrid",8100
"322","D01","BART","BART_002","distributed","basePlot",1600
"323","D01","BART","BART_003","distributed","basePlot",1600
"324","D01","BART","BART_003","distributed","birdGrid",250000
"325","D01","BART","BART_004","distributed","basePlot",1600
"326","D01","BART","BART_004","distributed","birdGrid",250000
"327","D01","BART","BART_005","distributed","basePlot",1600
"328","D01","BART","BART_006","distributed","basePlot",1600
"329","D01","BART","BART_007","distributed","basePlot",1600
"330","D01","BART","BART_007","distributed","mammalGrid",8100
"331","D01","BART","BART_009","distributed","birdGrid",250000
"332","D01","BART","BART_010","distributed","basePlot",1600
"333","D01","BART","BART_010","distributed","tickPlot",1600
"334","D01","BART","BART_011","distributed","basePlot",1600
"335","D01","BART","BART_011","distributed","tickPlot",1600
"336","D01","BART","BART_012","distributed","basePlot",1600
"337","D01","BART","BART_012","distributed","birdGrid",250000
"338","D01","BART","BART_012","distributed","mammalGrid",8100
"339","D01","BART","BART_013","distributed","basePlot",1600
"340","D01","BART","BART_015","distributed","basePlot",1600
"341","D01","BART","BART_015","distributed","birdGrid",250000
"342","D01","BART","BART_015","distributed","mammalGrid",8100
"343","D01","BART","BART_015","distributed","tickPlot",1600
"344","D01","BART","BART_016","distributed","basePlot",1600
"345","D01","BART","BART_016","distributed","birdGrid",250000
"346","D01","BART","BART_018","distributed","basePlot",1600
"347","D01","BART","BART_018","distributed","birdGrid",250000
"348","D01","BART","BART_019","distributed","basePlot",1600
"349","D01","BART","BART_019","distributed","tickPlot",1600
"350","D01","BART","BART_023","distributed","basePlot",1600
"351","D01","BART","BART_024","distributed","basePlot",1600
"352","D01","BART","BART_025","distributed","basePlot",1600
"353","D01","BART","BART_025","distributed","birdGrid",250000
"354","D01","BART","BART_026","distributed","basePlot",1600
"355","D01","BART","BART_027","distributed","basePlot",1600
"356","D01","BART","BART_028","distributed","basePlot",1600
"357","D01","BART","BART_029","distributed","basePlot",1600
"358","D01","BART","BART_029","distributed","tickPlot",1600
"359","D01","BART","BART_030","distributed","basePlot",1600
"360","D01","BART","BART_041","tower","basePlot",1600
"361","D01","BART","BART_052","tower","phenology",40000
"362","D01","BART","BART_053","tower","phenology",40000
"363","D01","BART","BART_054","distributed","mosquitoPoint",0
"364","D01","BART","BART_055","distributed","mosquitoPoint",0
"365","D01","BART","BART_056","distributed","mosquitoPoint",0
"366","D01","BART","BART_057","distributed","mosquitoPoint",0
"367","D01","BART","BART_058","distributed","mosquitoPoint",0
"368","D01","BART","BART_059","distributed","mosquitoPoint",0
"369","D01","BART","BART_060","distributed","mosquitoPoint",0
"370","D01","BART","BART_061","distributed","mosquitoPoint",0
"371","D01","BART","BART_062","distributed","basePlot",1600
"372","D01","BART","BART_066","distributed","basePlot",1600
"373","D01","BART","BART_068","distributed","basePlot",1600
"374","D01","BART","BART_079","distributed","basePlot",1600
"375","D01","BART","BART_081","distributed","basePlot",1600
"376","D01","BART","BART_082","distributed","birdGrid",250000
"377","D01","BART","BART_083","distributed","birdGrid",250000
"378","D01","BART","BART_084","distributed","mammalGrid",8100
"631","D01","HARV","HARV_001","distributed","basePlot",1600
"632","D01","HARV","HARV_002","distributed","basePlot",1600
"633","D01","HARV","HARV_004","distributed","basePlot",1600
"634","D01","HARV","HARV_005","distributed","basePlot",1600
"635","D01","HARV","HARV_006","distributed","basePlot",1600
"636","D01","HARV","HARV_008","distributed","basePlot",1600
"637","D01","HARV","HARV_010","distributed","basePlot",1600
"638","D01","HARV","HARV_011","distributed","basePlot",1600
"639","D01","HARV","HARV_012","distributed","basePlot",1600
"640","D01","HARV","HARV_013","distributed","basePlot",1600
"641","D01","HARV","HARV_014","distributed","basePlot",1600
"642","D01","HARV","HARV_015","distributed","basePlot",1600
"643","D01","HARV","HARV_016","distributed","basePlot",1600
"644","D01","HARV","HARV_017","distributed","basePlot",1600
"645","D01","HARV","HARV_018","distributed","basePlot",1600
"646","D01","HARV","HARV_020","distributed","basePlot",1600
"647","D01","HARV","HARV_021","distributed","basePlot",1600
"648","D01","HARV","HARV_022","distributed","basePlot",1600
"649","D01","HARV","HARV_023","distributed","basePlot",1600
"650","D01","HARV","HARV_024","distributed","basePlot",1600
"651","D01","HARV","HARV_025","distributed","basePlot",1600
"652","D01","HARV","HARV_026","distributed","basePlot",1600
"653","D01","HARV","HARV_027","distributed","basePlot",1600
"654","D01","HARV","HARV_028","distributed","basePlot",1600
"655","D01","HARV","HARV_029","distributed","basePlot",1600
"656","D01","HARV","HARV_030","distributed","basePlot",1600
"657","D01","HARV","HARV_031","distributed","basePlot",1600
"658","D01","HARV","HARV_058","distributed","basePlot",1600
"659","D01","HARV","HARV_059","distributed","basePlot",1600
"660","D01","HARV","HARV_063","distributed","basePlot",1600
"661","D01","HARV","HARV_001","distributed","mammalGrid",8100
"662","D01","HARV","HARV_006","distributed","mammalGrid",8100
"663","D01","HARV","HARV_008","distributed","mammalGrid",8100
"664","D01","HARV","HARV_010","distributed","mammalGrid",8100
"665","D01","HARV","HARV_014","distributed","mammalGrid",8100
"666","D01","HARV","HARV_016","distributed","mammalGrid",8100
"667","D01","HARV","HARV_020","distributed","mammalGrid",8100
"668","D01","HARV","HARV_021","distributed","mammalGrid",8100
"669","D01","HARV","HARV_023","distributed","mammalGrid",8100
"670","D01","HARV","HARV_032","distributed","mammalGrid",8100
"671","D01","HARV","HARV_073","distributed","mosquitoPoint",0
"672","D01","HARV","HARV_074","distributed","mosquitoPoint",0
"673","D01","HARV","HARV_075","distributed","mosquitoPoint",0
"674","D01","HARV","HARV_076","distributed","mosquitoPoint",0
"675","D01","HARV","HARV_077","distributed","mosquitoPoint",0
