"","domainID","siteID","plotID","plotType","subtype","plotSize"
"1","D03","DSNY","DSNY_041","tower","basePlot",400
"2","D03","DSNY","DSNY_042","tower","basePlot",400
"3","D03","DSNY","DSNY_043","tower","basePlot",400
"4","D03","DSNY","DSNY_044","tower","basePlot",400
"5","D03","DSNY","DSNY_045","tower","basePlot",400
"6","D03","DSNY","DSNY_046","tower","basePlot",400
"7","D03","DSNY","DSNY_047","tower","basePlot",400
"8","D03","DSNY","DSNY_048","tower","basePlot",400
"9","D03","DSNY","DSNY_049","tower","basePlot",400
"10","D03","DSNY","DSNY_050","tower","basePlot",400
"11","D03","DSNY","DSNY_051","tower","basePlot",400
"12","D03","DSNY","DSNY_052","tower","basePlot",400
"13","D03","DSNY","DSNY_053","tower","basePlot",400
"14","D03","DSNY","DSNY_054","tower","basePlot",400
"15","D03","DSNY","DSNY_055","tower","basePlot",400
"16","D03","DSNY","DSNY_056","tower","basePlot",400
"17","D03","DSNY","DSNY_057","tower","basePlot",400
"18","D03","DSNY","DSNY_058","tower","basePlot",400
"19","D03","DSNY","DSNY_059","tower","basePlot",400
"20","D03","DSNY","DSNY_060","tower","basePlot",400
"21","D03","DSNY","DSNY_061","tower","basePlot",400
"22","D03","DSNY","DSNY_062","tower","basePlot",400
"23","D03","DSNY","DSNY_063","tower","basePlot",400
"24","D03","DSNY","DSNY_064","tower","basePlot",400
"25","D03","DSNY","DSNY_065","tower","basePlot",400
"26","D03","DSNY","DSNY_066","tower","basePlot",400
"27","D03","DSNY","DSNY_067","tower","basePlot",400
"28","D03","DSNY","DSNY_068","tower","basePlot",400
"29","D03","DSNY","DSNY_069","tower","basePlot",400
"30","D03","DSNY","DSNY_070","tower","basePlot",400
"31","D03","DSNY","DSNY_071","tower","phenology",40000
"32","D03","DSNY","DSNY_072","tower","phenology",40000
"33","D03","JERC","JERC_047","tower","basePlot",1600
"34","D03","JERC","JERC_048","tower","basePlot",1600
"35","D03","JERC","JERC_049","tower","basePlot",1600
"36","D03","JERC","JERC_050","tower","basePlot",1600
"37","D03","JERC","JERC_051","tower","basePlot",1600
"38","D03","JERC","JERC_052","tower","basePlot",1600
"39","D03","JERC","JERC_053","tower","basePlot",1600
"40","D03","JERC","JERC_054","tower","basePlot",1600
"41","D03","JERC","JERC_055","tower","basePlot",1600
"42","D03","JERC","JERC_056","tower","basePlot",1600
"43","D03","JERC","JERC_057","tower","basePlot",1600
"44","D03","JERC","JERC_058","tower","basePlot",1600
"45","D03","JERC","JERC_059","tower","basePlot",1600
"46","D03","JERC","JERC_060","tower","basePlot",1600
"47","D03","JERC","JERC_061","tower","basePlot",1600
"48","D03","JERC","JERC_062","tower","basePlot",1600
"49","D03","JERC","JERC_063","tower","basePlot",1600
"50","D03","JERC","JERC_064","tower","basePlot",1600
"51","D03","JERC","JERC_065","tower","basePlot",1600
"52","D03","JERC","JERC_066","tower","basePlot",1600
"53","D03","JERC","JERC_067","tower","phenology",40000
"54","D03","JERC","JERC_068","tower","phenology",40000
"55","D03","OSBS","OSBS_025","tower","basePlot",1600
"56","D03","OSBS","OSBS_026","tower","basePlot",1600
"57","D03","OSBS","OSBS_027","tower","basePlot",1600
"58","D03","OSBS","OSBS_028","tower","basePlot",1600
"59","D03","OSBS","OSBS_029","tower","basePlot",1600
"60","D03","OSBS","OSBS_030","tower","basePlot",1600
"61","D03","OSBS","OSBS_031","tower","basePlot",1600
"62","D03","OSBS","OSBS_032","tower","basePlot",1600
"63","D03","OSBS","OSBS_033","tower","basePlot",1600
"64","D03","OSBS","OSBS_034","tower","basePlot",1600
"65","D03","OSBS","OSBS_035","tower","basePlot",1600
"66","D03","OSBS","OSBS_036","tower","basePlot",1600
"67","D03","OSBS","OSBS_037","tower","basePlot",1600
"68","D03","OSBS","OSBS_038","tower","basePlot",1600
"69","D03","OSBS","OSBS_039","tower","basePlot",1600
"70","D03","OSBS","OSBS_040","tower","basePlot",1600
"71","D03","OSBS","OSBS_041","tower","basePlot",1600
"72","D03","OSBS","OSBS_042","tower","basePlot",1600
"73","D03","OSBS","OSBS_043","tower","basePlot",1600
"74","D03","OSBS","OSBS_044","tower","basePlot",1600
"75","D03","OSBS","OSBS_045","tower","phenology",40000
"76","D03","OSBS","OSBS_046","tower","phenology",40000
