"","domainID","siteID","plotID","plotType","subtype","plotSize"
"1","D10","CPER","CPER_001","distributed","basePlot",1600
"2","D10","CPER","CPER_002","distributed","mammalGrid",8100
"3","D10","CPER","CPER_002","distributed","basePlot",1600
"4","D10","CPER","CPER_003","distributed","basePlot",1600
"5","D10","CPER","CPER_004","distributed","basePlot",1600
"6","D10","CPER","CPER_004","distributed","mammalGrid",8100
"7","D10","CPER","CPER_005","distributed","basePlot",1600
"8","D10","CPER","CPER_005","distributed","mammalGrid",8100
"9","D10","CPER","CPER_006","distributed","mammalGrid",8100
"10","D10","CPER","CPER_006","distributed","basePlot",1600
"11","D10","CPER","CPER_007","distributed","basePlot",1600
"12","D10","CPER","CPER_008","distributed","mammalGrid",8100
"13","D10","CPER","CPER_008","distributed","basePlot",1600
"14","D10","CPER","CPER_009","distributed","mammalGrid",8100
"15","D10","CPER","CPER_009","distributed","basePlot",1600
"16","D10","CPER","CPER_010","distributed","basePlot",1600
"17","D10","CPER","CPER_011","distributed","basePlot",1600
"18","D10","CPER","CPER_011","distributed","mammalGrid",8100
"19","D10","CPER","CPER_012","distributed","basePlot",1600
"20","D10","CPER","CPER_013","distributed","basePlot",1600
"21","D10","CPER","CPER_014","distributed","basePlot",1600
"22","D10","CPER","CPER_015","distributed","basePlot",1600
"23","D10","CPER","CPER_015","distributed","mammalGrid",8100
"24","D10","CPER","CPER_016","distributed","mammalGrid",8100
"25","D10","CPER","CPER_016","distributed","basePlot",1600
"26","D10","CPER","CPER_017","distributed","basePlot",1600
"27","D10","CPER","CPER_018","distributed","basePlot",1600
"28","D10","CPER","CPER_019","distributed","basePlot",1600
"29","D10","CPER","CPER_020","distributed","basePlot",1600
"30","D10","CPER","CPER_021","distributed","basePlot",1600
"31","D10","CPER","CPER_022","distributed","basePlot",1600
"32","D10","CPER","CPER_023","distributed","basePlot",1600
"33","D10","CPER","CPER_024","distributed","basePlot",1600
"34","D10","CPER","CPER_025","distributed","basePlot",1600
"35","D10","CPER","CPER_026","distributed","basePlot",1600
"36","D10","CPER","CPER_027","distributed","basePlot",1600
"37","D10","CPER","CPER_028","distributed","basePlot",1600
"38","D10","CPER","CPER_029","distributed","basePlot",1600
"39","D10","CPER","CPER_030","distributed","basePlot",1600
"40","D10","CPER","CPER_031","distributed","basePlot",1600
"41","D10","CPER","CPER_033","distributed","basePlot",1600
"42","D10","CPER","CPER_034","distributed","basePlot",1600
"43","D10","CPER","CPER_035","distributed","basePlot",1600
"44","D10","CPER","CPER_036","distributed","basePlot",1600
"45","D10","CPER","CPER_037","distributed","basePlot",1600
"46","D10","CPER","CPER_038","distributed","basePlot",1600
"47","D10","CPER","CPER_039","distributed","basePlot",1600
"48","D10","CPER","CPER_040","distributed","basePlot",1600
"49","D10","CPER","CPER_041","distributed","basePlot",1600
"50","D10","STER","STER_005","distributed","basePlot",1600
"51","D10","STER","STER_006","distributed","mammalGrid",8100
"52","D10","STER","STER_006","distributed","basePlot",1600
"53","D10","STER","STER_018","distributed","basePlot",1600
"54","D10","STER","STER_026","distributed","mammalGrid",8100
"55","D10","STER","STER_026","distributed","basePlot",1600
"56","D10","STER","STER_027","distributed","mammalGrid",8100
"57","D10","STER","STER_027","distributed","basePlot",1600
"58","D10","STER","STER_028","distributed","basePlot",1600
"59","D10","STER","STER_028","distributed","mammalGrid",8100
"60","D10","STER","STER_029","distributed","mammalGrid",8100
"61","D10","STER","STER_029","distributed","basePlot",1600
"62","D10","STER","STER_031","distributed","mammalGrid",8100
"63","D10","STER","STER_031","distributed","basePlot",1600
"64","D10","STER","STER_032","distributed","basePlot",1600
"65","D10","STER","STER_033","distributed","basePlot",1600
"66","D10","STER","STER_034","distributed","basePlot",1600
"67","D10","STER","STER_035","distributed","basePlot",1600
