"","domainID","siteID","plotID","plotType","subtype","plotSize"
"1","D05","UNDE","UNDE_034","distributed","birdGrid",250000
"2","D05","UNDE","UNDE_001","distributed","basePlot",1600
"3","D05","UNDE","UNDE_002","distributed","basePlot",1600
"4","D05","UNDE","UNDE_003","distributed","basePlot",1600
"5","D05","UNDE","UNDE_006","distributed","basePlot",1600
"6","D05","UNDE","UNDE_007","distributed","basePlot",1600
"7","D05","UNDE","UNDE_007","distributed","mammalGrid",8100
"8","D05","UNDE","UNDE_007","distributed","birdGrid",250000
"9","D05","UNDE","UNDE_008","distributed","basePlot",1600
"10","D05","UNDE","UNDE_008","distributed","birdGrid",250000
"11","D05","UNDE","UNDE_008","distributed","mammalGrid",8100
"12","D05","UNDE","UNDE_040","distributed","mammalGrid",8100
"13","D05","UNDE","UNDE_009","distributed","birdGrid",250000
"14","D05","UNDE","UNDE_010","distributed","basePlot",1600
"15","D05","UNDE","UNDE_011","distributed","basePlot",1600
"16","D05","UNDE","UNDE_012","distributed","basePlot",1600
"17","D05","UNDE","UNDE_012","distributed","mammalGrid",8100
"18","D05","UNDE","UNDE_013","distributed","basePlot",1600
"19","D05","UNDE","UNDE_002","distributed","birdGrid",250000
"20","D05","UNDE","UNDE_014","distributed","basePlot",1600
"21","D05","UNDE","UNDE_002","distributed","mammalGrid",8100
"22","D05","UNDE","UNDE_015","distributed","basePlot",1600
"23","D05","UNDE","UNDE_016","distributed","basePlot",1600
"24","D05","UNDE","UNDE_017","distributed","basePlot",1600
"25","D05","UNDE","UNDE_019","distributed","basePlot",1600
"26","D05","UNDE","UNDE_022","distributed","basePlot",1600
"27","D05","UNDE","UNDE_003","distributed","mammalGrid",8100
"28","D05","UNDE","UNDE_024","distributed","basePlot",1600
"29","D05","UNDE","UNDE_003","distributed","birdGrid",250000
"30","D05","UNDE","UNDE_025","distributed","basePlot",1600
"31","D05","UNDE","UNDE_001","distributed","birdGrid",250000
"32","D05","UNDE","UNDE_001","distributed","mammalGrid",8100
"33","D05","UNDE","UNDE_020","distributed","birdGrid",250000
"34","D05","UNDE","UNDE_020","distributed","mammalGrid",8100
"35","D05","UNDE","UNDE_027","distributed","basePlot",1600
"36","D05","UNDE","UNDE_028","distributed","basePlot",1600
"37","D05","UNDE","UNDE_030","distributed","basePlot",1600
"38","D05","UNDE","UNDE_027","distributed","mammalGrid",8100
"39","D05","UNDE","UNDE_032","distributed","basePlot",1600
"40","D05","UNDE","UNDE_033","distributed","basePlot",1600
"41","D05","UNDE","UNDE_034","distributed","basePlot",1600
"42","D05","UNDE","UNDE_035","distributed","basePlot",1600
"43","D05","UNDE","UNDE_032","distributed","mammalGrid",8100
"44","D05","UNDE","UNDE_036","distributed","basePlot",1600
"45","D05","UNDE","UNDE_018","distributed","basePlot",1600
"46","D05","UNDE","UNDE_021","distributed","basePlot",1600
"47","D05","UNDE","UNDE_023","distributed","basePlot",1600
"48","D05","UNDE","UNDE_029","distributed","basePlot",1600
"49","D05","UNDE","UNDE_020","distributed","basePlot",1600
