"","domainID","siteID","plotID","plotType","subtype","plotSize"
"1","D10","CPER","CPER_045","tower","basePlot",400
"2","D10","CPER","CPER_046","tower","basePlot",400
"3","D10","CPER","CPER_047","tower","basePlot",400
"4","D10","CPER","CPER_048","tower","basePlot",400
"5","D10","CPER","CPER_049","tower","basePlot",400
"6","D10","CPER","CPER_050","tower","basePlot",400
"7","D10","CPER","CPER_051","tower","basePlot",400
"8","D10","CPER","CPER_052","tower","basePlot",400
"9","D10","CPER","CPER_053","tower","basePlot",400
"10","D10","CPER","CPER_054","tower","basePlot",400
"11","D10","CPER","CPER_055","tower","basePlot",400
"12","D10","CPER","CPER_056","tower","basePlot",400
"13","D10","CPER","CPER_057","tower","basePlot",400
"14","D10","CPER","CPER_058","tower","basePlot",400
"15","D10","CPER","CPER_059","tower","basePlot",400
"16","D10","CPER","CPER_060","tower","basePlot",400
"17","D10","CPER","CPER_061","tower","basePlot",400
"18","D10","CPER","CPER_062","tower","basePlot",400
"19","D10","CPER","CPER_063","tower","basePlot",400
"20","D10","CPER","CPER_064","tower","basePlot",400
"21","D10","CPER","CPER_065","tower","basePlot",400
"22","D10","CPER","CPER_066","tower","basePlot",400
"23","D10","CPER","CPER_067","tower","basePlot",400
"24","D10","CPER","CPER_068","tower","basePlot",400
"25","D10","CPER","CPER_069","tower","basePlot",400
"26","D10","CPER","CPER_070","tower","basePlot",400
"27","D10","CPER","CPER_071","tower","basePlot",400
"28","D10","CPER","CPER_072","tower","basePlot",400
"29","D10","CPER","CPER_073","tower","basePlot",400
"30","D10","CPER","CPER_074","tower","basePlot",400
"31","D10","CPER","CPER_077","tower","phenology",40000
"32","D10","STER","STER_007","tower","basePlot",400
"33","D10","STER","STER_008","tower","basePlot",400
"34","D10","STER","STER_009","tower","basePlot",400
"35","D10","STER","STER_010","tower","basePlot",1600
"36","D10","STER","STER_011","tower","basePlot",1600
"37","D10","STER","STER_012","tower","basePlot",1600
"38","D10","STER","STER_013","tower","basePlot",400
"39","D10","STER","STER_014","tower","basePlot",400
"40","D10","STER","STER_015","tower","basePlot",400
"41","D10","STER","STER_016","tower","basePlot",1600
"42","D10","STER","STER_017","tower","phenology",40000
"43","D10","STER","STER_020","tower","phenology",40000
