Site Id,Date,TOBS.I-1_C ,TMAX.D-1_C ,TMIN.D-1_C ,TAVG.D-1_C 
2039,40544,5.3,13.5,-0.3,5.4
2039,40545,13.5,13.6,4.9,9.8
2039,40546,0.5,13.7,0.5,8.2
2039,40547,-3.4,3.9,-4.3,-0.7
2039,40548,-1.2,7.3,-5.8,0.2
2039,40549,-1.8,5.1,-4.2,0.5
2039,40550,0.5,4.5,-3.3,0.2
2039,40551,-1,2.8,-1.9,0.2
2039,40552,-6.2,0.4,-6.2,-2.2
2039,40553,-7.9,0.4,-8,-3.7
2039,40554,-3.5,-0.1,-9.4,-4.4
2039,40555,-2.3,-1,-3.5,-2.3
2039,40556,-2.5,1.6,-3.3,-0.9
2039,40557,-5.1,2.7,-5.4,-2
2039,40558,-2.8,2.7,-8.3,-3.2
2039,40559,1.4,7.6,-4.4,1.7
2039,40560,-0.5,4.5,-1.2,1.7
2039,40561,-2.4,0.4,-3,-1
2039,40562,2.4,5.6,-2.4,1
2039,40563,3,12.7,-0.2,5
2039,40564,2.7,6.3,-1.3,3
2039,40565,-6.5,3.6,-6.5,-0.2
2039,40566,-10.3,-4,-10.6,-7.7
2039,40567,-9,1.2,-11.4,-5.7
2039,40568,-2.2,0.1,-12.3,-5.2
2039,40569,3.9,9.9,-2.5,3.1
2039,40570,1.4,3.9,-0.1,0.8
2039,40571,-2.3,3.2,-3.9,-0.2
2039,40572,-2,2.9,-4.4,-1.6
2039,40573,-1,8.3,-7.5,-0.4
2039,40574,2,8,-3,2.2
2039,40575,-2.4,2.1,-2.4,-0.1
2039,40576,1.6,7.8,-3,1.4
2039,40577,0,17.7,0,5.8
2039,40578,-1.9,3.7,-2.4,-0.2
2039,40579,2.1,5.4,-4.3,0.8
2039,40580,5,5.4,0.4,2.6
2039,40581,1.6,9.2,-1.8,4.2
2039,40582,3.2,9.3,-3.1,3.7
2039,40583,-4.3,6,-4.3,1.8
2039,40584,-2.5,-0.2,-8.6,-3.7
2039,40585,-4.4,3.4,-6.2,-1.9
2039,40586,1.4,7.7,-10,-0.7
2039,40587,1.2,9.1,-1.6,3.9
2039,40588,9.5,14.1,-0.2,6.6
2039,40589,6,19.2,5.3,11
2039,40590,-0.4,9.7,-0.8,4.7
2039,40591,6.6,14.3,-2.8,5.9
2039,40592,13,20.8,3.1,12.5
2039,40593,13.4,23.1,11,16.2
2039,40594,5.6,15.1,5.6,11.4
2039,40595,8.4,10.7,-4.4,5.5
2039,40596,-0.3,18.1,-0.3,7.8
2039,40597,-1,-0.3,-4,-2
2039,40598,-2.2,7.3,-5,0.9
2039,40599,6.1,7.9,-3.2,3.2
2039,40600,-0.2,17.6,-0.2,8.3
2039,40601,3.9,9.8,-2.4,3.3
2039,40602,10.6,19.3,2.8,10.2
2039,40603,6.2,21.8,6.2,11.9
2039,40604,0,8.8,-1.5,4
2039,40605,5.2,17.1,0,7.9
2039,40606,-0.6,5.4,-3.5,0.9
2039,40607,5.4,10.7,-4.6,3.2
2039,40608,14.4,16.5,4.5,10.4
2039,40609,3.2,14.4,2.8,10.5
2039,40610,3.6,10.5,1.3,5.3
2039,40611,3.2,10.7,-1.8,4.6
2039,40612,9.2,9.2,1.8,4.5
2039,40613,7.4,15.5,7.4,11.1
2039,40614,1.9,8.8,1.8,6
2039,40615,11.4,17.9,-0.6,8.3
2039,40616,3.2,19.3,3.2,12.6
2039,40617,4.2,8.6,-0.2,5.1
2039,40618,5.2,8.8,1.5,5.6
2039,40619,8.4,13.9,3.8,8.7
2039,40620,10.4,18.7,2.3,11.5
2039,40621,15.5,25.7,9.8,17.9
2039,40622,8.4,17.9,8.4,14.3
2039,40623,6.9,12.2,2.4,7.8
2039,40624,16.7,25.5,4.7,14.5
2039,40625,10.6,18.5,10.6,15.1
2039,40626,9.3,18.5,7.8,11.4
2039,40627,2.4,9.9,2.2,7.3
2039,40628,4.6,9.7,-3,4.1
2039,40629,4.2,8.1,0.4,4.2
2039,40630,1,4.2,-1.2,0.8
2039,40631,-0.4,9.5,-2.6,2.6
2039,40632,6,11.1,-2,5
2039,40633,3,7.8,2.9,4.9
2039,40634,3.7,6.3,2.4,4.1
2039,40635,3.6,9.4,2.6,5.5
2039,40636,4,12.4,1.2,6.9
2039,40637,8.6,16.2,2.2,10
2039,40638,20.9,29.2,5,18.3
2039,40639,6,20.9,4.4,11.4
2039,40640,12.6,18.1,-0.7,10.5
2039,40641,13,24.8,9,16.2
2039,40642,5.3,13,5.3,8.3
2039,40643,7.4,8.1,5.2,6.6
2039,40644,14.2,20.1,6.7,12.3
2039,40645,20.6,28.5,13.7,20.9
2039,40646,11.3,20.6,11.3,16.5
2039,40647,6.5,15.5,5.6,11.9
2039,40648,13.8,21.1,3.6,13.3
2039,40649,10.8,20.7,7.1,14.4
2039,40650,11.8,18.9,10,13.7
2039,40651,13.5,20.2,7.8,13.5
2039,40652,16.9,24.8,11,18.1
2039,40653,13.4,20.7,13.4,17
2039,40654,20.4,28.9,12.2,21.7
2039,40655,8.8,20.6,8.3,14.6
2039,40656,6.8,9.6,6.4,7.9
2039,40657,18.2,22.6,6.7,14.5
2039,40658,19.2,29.4,14.3,22
2039,40659,21,29.5,15.8,23.1
2039,40660,20.6,28.6,18.7,22.7
2039,40661,22.1,27.1,18.8,21.8
2039,40662,16.8,25.3,15.6,21.5
2039,40663,11.8,19.8,7.1,14.7
2039,40664,9.8,19.4,8.3,13.6
2039,40665,12.8,16.8,8.9,13.6
2039,40666,18.9,27,11.8,19.2
2039,40667,15.7,26.1,15.5,20.6
2039,40668,8.2,16.1,7.2,12.2
2039,40669,10.3,19.1,6.8,12.5
2039,40670,12.6,20.7,4,12.4
2039,40671,13,22.8,8.8,15.8
2039,40672,14.4,21.2,11.5,15.9
2039,40673,12.5,22.6,12,17.1
2039,40674,15.2,23.5,10,16.7
2039,40675,14,23.8,13.9,18.2
2039,40676,16.9,20.7,12.6,16.8
2039,40677,16.7,18.5,15.5,17
2039,40678,16,17.7,15,16.4
2039,40679,16,23.4,15.2,17.5
2039,40680,15.6,23.2,14.7,18.1
2039,40681,16.3,19.6,15,16.7
2039,40682,11.7,22.1,11.7,17.7
2039,40683,13,21.6,11.2,15.7
2039,40684,14.6,21.7,11.1,16.9
2039,40685,16.3,27.1,13.8,20.2
2039,40686,20.6,26.8,14.3,21.2
2039,40687,22.4,26.7,17.4,22.1
2039,40688,20.8,28.4,19.5,23.5
2039,40689,20.9,29,16.3,23.6
2039,40690,23.9,31.2,18.7,25.3
2039,40691,17.9,27.1,17.9,22.1
2039,40692,19.4,26.7,16.3,21.3
2039,40693,21.3,29.3,18.4,23.5
2039,40694,24.2,33.6,19.2,26.5
2039,40695,25.6,33.5,20.9,27.7
2039,40696,26.4,33.6,21.6,27.6
2039,40697,20.2,31.7,19.4,26
2039,40698,15.5,26.1,14.8,19.4
2039,40699,22.6,29.9,14.5,22.3
2039,40700,19.6,27.3,17.6,22.1
2039,40701,18.6,28.9,18.6,23.3
2039,40702,19.8,28.9,14.8,22.8
2039,40703,25.8,35.4,19.4,27.6
2039,40704,23.6,35,22.7,29
2039,40705,22.8,32.1,19.3,26
2039,40706,20.4,31.4,20.1,23.9
2039,40707,20.8,30.6,18.7,24
2039,40708,17.2,25.1,17.2,21
2039,40709,16.8,23.5,13.9,19.8
2039,40710,17.2,24.8,13.4,19
2039,40711,21.3,27.3,15.8,21.9
2039,40712,18.3,29.2,18.1,21.9
2039,40713,22.5,30.9,17,24.3
2039,40714,21,25.8,20.2,22.8
2039,40715,19.8,24.7,18.6,20.7
2039,40716,23.9,31.3,18.9,24.7
2039,40717,25.3,30.5,20.5,26
2039,40718,21.8,25.4,21.6,24.1
2039,40719,20.7,-99.9,-99.9,-99.9
2039,40720,17.8,26.8,16.7,22.8
2039,40721,19.4,26.2,16.4,21.9
2039,40722,21.9,27.2,18.2,22.3
2039,40723,21.2,31.9,20.5,24.5
2039,40724,18.1,30.5,18.1,24.4
2039,40725,18.9,28.6,16.2,22.3
2039,40726,19.4,30.2,16.9,23.6
2039,40727,22.8,31.4,17.4,24.5
2039,40728,21,32.7,20.7,25.6
2039,40729,20.9,29.6,20.1,24.2
