easting,northing,dbh.cm,stemrad.m,maxcanopy.m,mincanopy.m,canopyrad.m,firstbranch.m,height.m,species,color,status
403854.04,3285058.41,17,0.085,5.6,2.5,2.03,5,12.4,Pipa,"#f7941d""""",Alive
403912.7,3285098.13,16,0.08,4.6,4.2,2.2,9.1,14.2,Pipa,"#f7941d""""",Alive
403908.94,3285100.16,30.1,0.151,4.4,NA,2.2,NA,17.4,Pipa,"#f7941d""""",Dead
403887.88,3285088.25,24.3,0.122,7.5,2.8,2.58,8.1,19.2,Pipa,"#f7941d""""",Alive
403850.38,3285068.48,27.6,0.138,5.9,4.8,2.68,8.5,18.3,Pipa,"#f7941d""""",Alive
403905.42,3285099.92,22.9,0.115,7,4.2,2.8,5.1,13.8,Pipa,"#f7941d""""",Alive
403924.56,3285104.08,27.2,0.136,7,4.2,2.8,9.4,18.9,Pipa,"#f7941d""""",Alive
403851.72,3285073.12,28.3,0.142,6.8,5.4,3.05,6.4,18.1,Pipa,"#f7941d""""",Alive
403873.85,3285083.22,24.5,0.123,7.3,5,3.08,4.4,16.1,Pipa,"#f7941d""""",Alive
403853.94,3285077.88,27.2,0.136,6.4,6,3.1,7.4,16.4,Pipa,"#f7941d""""",Alive
403852.9,3285053.3,38,0.19,7.8,4.8,3.15,7.3,19.4,Pipa,"#f7941d""""",Alive
403940.4,3285102.76,26.2,0.131,7.7,5,3.18,7.4,17.8,Pipa,"#f7941d""""",Alive
403835.01,3285052.1,40,0.2,9.7,4.2,3.48,10.4,20.1,Pipa,"#f7941d""""",Alive
403909.84,3285110.49,20.8,0.104,7.5,6.4,3.48,8.3,16.8,Pipa,"#f7941d""""",Alive
403931.51,3285098.96,33.7,0.169,9.6,4.4,3.5,7.6,19.7,Pipa,"#f7941d""""",Alive
403907.69,3285095,34,0.17,10.7,4.1,3.7,8.3,18.5,Pipa,"#f7941d""""",Alive
403845.49,3285059.28,31,0.155,10.3,4.7,3.74,6.9,15.7,Pipa,"#f7941d""""",Alive
403896.11,3285094.64,30.4,0.152,11,4,3.75,7.6,16.8,Pipa,"#f7941d""""",Alive
403912.97,3285111.66,27.2,0.136,8.9,6.3,3.8,7.3,14.9,Pipa,"#f7941d""""",Alive
403853.97,3285060.29,37,0.185,9.2,7.4,4.15,10.2,20.8,Pipa,"#f7941d""""",Alive
403886.69,3285086.67,32.1,0.161,12.1,4.9,4.25,8.7,19.9,Pipa,"#f7941d""""",Alive
403919.81,3285103.33,23.5,0.118,10.3,7.8,4.53,7.2,14.6,Pipa,"#f7941d""""",Alive
403915.48,3285108.36,29.5,0.148,10,9.4,4.85,8.4,18.9,Pipa,"#f7941d""""",Alive
403921.99,3285101.79,31.7,0.159,10.8,8.8,4.9,10.8,19.6,Pipa,"#f7941d""""",Alive
403930.67,3285100.44,34.2,0.171,13.2,11.3,6.13,8.9,20.4,Pipa,"#f7941d""""",Alive
403870.9,3285068.81,NA,NA,0.3,NA,0.15,NA,1.2,Qula,"#00a651""""",Dead
403861.7,3285062.97,6.1,0.031,0.5,0.2,0.18,1.6,4.2,Qula,"#00a651""""",Dead
403857.04,3285074.18,NA,NA,0.4,NA,0.2,NA,1.1,Qula,"#00a651""""",Dead
403871.01,3285075.27,NA,NA,0.4,NA,0.2,NA,1,Qula,"#00a651""""",Dead
403876.89,3285069.59,NA,NA,0.4,NA,0.2,NA,1.1,Qula,"#00a651""""",Dead
403895.59,3285081.77,NA,NA,0.4,NA,0.2,NA,1.2,Qula,"#00a651""""",Dead
403900.35,3285086.59,NA,NA,0.4,NA,0.2,NA,1.5,Qula,"#00a651""""",Dead
403904.64,3285088.74,NA,NA,0.4,NA,0.2,NA,1,Qula,"#00a651""""",Dead
403907.97,3285088.53,NA,NA,0.4,NA,0.2,NA,1.2,Qula,"#00a651""""",Dead
403920.19,3285114.95,NA,NA,0.4,NA,0.2,NA,1,Qula,"#00a651""""",Dead
403934.75,3285101.96,NA,NA,0.4,NA,0.2,NA,1.2,Qula,"#00a651""""",Dead
403840.12,3285046.49,8,0.04,0.7,0.3,0.25,2.9,6.2,Qula,"#00a651""""",Alive
403856.81,3285074.15,NA,NA,0.5,NA,0.25,NA,1.1,Qula,"#00a651""""",Dead
403856.49,3285077.31,NA,NA,0.5,NA,0.25,NA,1.3,Qula,"#00a651""""",Dead
403863.01,3285076.4,NA,NA,0.5,NA,0.25,NA,1.8,Qula,"#00a651""""",Dead
403875.28,3285069.11,NA,NA,0.5,NA,0.25,NA,1.3,Qula,"#00a651""""",Dead
403888.02,3285092.32,NA,NA,0.5,NA,0.25,NA,1.4,Qula,"#00a651""""",Dead
403891.62,3285087.69,NA,NA,0.5,NA,0.25,NA,1.3,Qula,"#00a651""""",Dead
403924.11,3285098.42,NA,NA,0.5,NA,0.25,NA,1.3,Qula,"#00a651""""",Dead
403924.46,3285101.84,NA,NA,0.5,NA,0.25,NA,1,Qula,"#00a651""""",Dead
403926.03,3285100.09,NA,NA,0.5,NA,0.25,NA,1.3,Qula,"#00a651""""",Dead
403928.79,3285102.12,NA,NA,0.5,NA,0.25,NA,1.6,Qula,"#00a651""""",Dead
403925.45,3285108.16,NA,NA,0.5,NA,0.25,NA,1.7,Qula,"#00a651""""",Dead
403928.3,3285110.83,NA,NA,0.5,NA,0.25,NA,1.1,Qula,"#00a651""""",Dead
403935.4,3285104.06,NA,NA,0.5,NA,0.25,NA,1.1,Qula,"#00a651""""",Dead
403936.79,3285111.3,NA,NA,0.5,NA,0.25,NA,1.2,Qula,"#00a651""""",Dead
403931.79,3285122.26,NA,NA,0.5,NA,0.25,NA,1.4,Qula,"#00a651""""",Dead
403848.93,3285069.2,NA,NA,0.6,NA,0.3,NA,1.6,Qula,"#00a651""""",Dead
403856.88,3285077.09,NA,NA,0.6,NA,0.3,NA,1.3,Qula,"#00a651""""",Dead
403860.61,3285081.04,NA,NA,0.6,NA,0.3,NA,1.2,Qula,"#00a651""""",Dead
403865.45,3285077.08,NA,NA,0.6,NA,0.3,NA,1.2,Qula,"#00a651""""",Dead
403864.31,3285083.42,NA,NA,0.6,NA,0.3,NA,1.5,Qula,"#00a651""""",Dead
403870.45,3285080.57,NA,NA,0.6,NA,0.3,NA,1.7,Qula,"#00a651""""",Dead
403889.85,3285085.11,NA,NA,0.6,NA,0.3,NA,1.2,Qula,"#00a651""""",Dead
403888.65,3285089.13,NA,NA,0.6,NA,0.3,NA,1.4,Qula,"#00a651""""",Dead
403888.01,3285093.58,NA,NA,0.6,NA,0.3,NA,1.7,Qula,"#00a651""""",Dead
403896.45,3285080.42,NA,NA,0.6,NA,0.3,NA,1.3,Qula,"#00a651""""",Dead
403923.56,3285097.76,NA,NA,0.6,NA,0.3,NA,1.4,Qula,"#00a651""""",Dead
403930.48,3285098.95,NA,NA,0.6,NA,0.3,NA,1.6,Qula,"#00a651""""",Dead
403929.88,3285103.44,NA,NA,0.6,NA,0.3,NA,1.6,Qula,"#00a651""""",Dead
403924.66,3285113.58,NA,NA,0.6,NA,0.3,NA,1.3,Qula,"#00a651""""",Dead
403929.41,3285108.7,NA,NA,0.6,NA,0.3,NA,1.3,Qula,"#00a651""""",Dead
403934.83,3285101.43,NA,NA,0.6,NA,0.3,NA,1.2,Qula,"#00a651""""",Dead
403934.15,3285107.26,NA,NA,0.6,NA,0.3,NA,1.1,Qula,"#00a651""""",Dead
403931.79,3285111.78,NA,NA,0.6,NA,0.3,NA,1.2,Qula,"#00a651""""",Dead
403929.74,3285115.57,NA,NA,0.6,NA,0.3,NA,1.1,Qula,"#00a651""""",Dead
403933.69,3285109.87,NA,NA,0.6,NA,0.3,NA,1.8,Qula,"#00a651""""",Dead
403932.15,3285114.18,NA,NA,0.6,NA,0.3,NA,1.2,Qula,"#00a651""""",Alive
403938.1,3285104.56,NA,NA,0.6,NA,0.3,NA,1.4,Qula,"#00a651""""",Dead
403933.95,3285117.28,NA,NA,0.6,NA,0.3,NA,1.1,Qula,"#00a651""""",Dead
403929.4,3285115.37,6.2,0.031,0.7,NA,0.35,NA,3.5,Qula,"#00a651""""",Dead
403857.03,3285063.8,NA,NA,0.7,NA,0.35,NA,1.4,Qula,"#00a651""""",Dead
403851.54,3285074.45,NA,NA,0.7,NA,0.35,NA,1.5,Qula,"#00a651""""",Dead
403858.85,3285066.11,NA,NA,0.7,NA,0.35,NA,1.2,Qula,"#00a651""""",Dead
403854.63,3285072.92,NA,NA,0.7,NA,0.35,NA,1.5,Qula,"#00a651""""",Dead
403856.77,3285072.43,NA,NA,0.7,NA,0.35,NA,2,Qula,"#00a651""""",Dead
403862.3,3285064.94,NA,NA,0.7,NA,0.35,NA,1.8,Qula,"#00a651""""",Dead
403861.94,3285076.03,NA,NA,0.7,NA,0.35,NA,1.7,Qula,"#00a651""""",Dead
403873.5,3285070.32,NA,NA,0.7,NA,0.35,NA,1.8,Qula,"#00a651""""",Dead
403877.92,3285069.68,NA,NA,0.7,NA,0.35,NA,2.1,Qula,"#00a651""""",Dead
403870.51,3285080.85,NA,NA,0.7,NA,0.35,NA,1.5,Qula,"#00a651""""",Dead
403883.04,3285080.07,NA,NA,0.7,NA,0.35,NA,1.4,Qula,"#00a651""""",Dead
403890.82,3285095.94,NA,NA,0.7,NA,0.35,NA,1.5,Qula,"#00a651""""",Alive
403905.14,3285091.76,NA,NA,0.7,NA,0.35,NA,1.5,Qula,"#00a651""""",Dead
403920.6,3285103.88,NA,NA,0.7,NA,0.35,NA,1,Qula,"#00a651""""",Dead
403926.94,3285096.69,NA,NA,0.7,NA,0.35,NA,1.6,Qula,"#00a651""""",Dead
403922.59,3285110.56,NA,NA,0.7,NA,0.35,NA,1.4,Qula,"#00a651""""",Dead
403923.07,3285109.91,NA,NA,0.7,NA,0.35,NA,1.4,Qula,"#00a651""""",Dead
403926.33,3285109.24,NA,NA,0.7,NA,0.35,NA,1.4,Qula,"#00a651""""",Dead
403923.67,3285115.32,NA,NA,0.7,NA,0.35,NA,1.3,Qula,"#00a651""""",Dead
403934.05,3285105.82,NA,NA,0.7,NA,0.35,NA,2,Qula,"#00a651""""",Alive
403934.21,3285106.95,NA,NA,0.7,NA,0.35,NA,1.4,Qula,"#00a651""""",Dead
403938.6,3285110.14,NA,NA,0.7,NA,0.35,NA,1.2,Qula,"#00a651""""",Dead
403864.91,3285062.84,15.4,0.077,0.8,0.8,0.4,4.7,9.1,Qula,"#00a651""""",Alive
403834.7,3285059.72,NA,NA,0.8,NA,0.4,NA,1.1,Qula,"#00a651""""",Dead
403846.07,3285053.76,NA,NA,0.8,NA,0.4,NA,1.8,Qula,"#00a651""""",Dead
403850.95,3285059.94,NA,NA,0.8,NA,0.4,NA,1.9,Qula,"#00a651""""",Dead
403852.69,3285060.76,NA,NA,0.8,NA,0.4,NA,1.5,Qula,"#00a651""""",Dead
403862.63,3285070.35,NA,NA,0.8,NA,0.4,NA,1.7,Qula,"#00a651""""",Dead
403869.1,3285063.25,NA,NA,0.8,NA,0.4,NA,1.9,Qula,"#00a651""""",Alive
403873.74,3285072.65,NA,NA,0.8,NA,0.4,NA,1.6,Qula,"#00a651""""",Dead
403868.03,3285082.91,NA,NA,0.8,NA,0.4,NA,1.3,Qula,"#00a651""""",Dead
403874.25,3285076.37,NA,NA,0.8,NA,0.4,NA,1.5,Qula,"#00a651""""",Dead
403871.42,3285081.46,NA,NA,0.8,NA,0.4,NA,1.7,Qula,"#00a651""""",Dead
403883.24,3285096.19,NA,NA,0.8,NA,0.4,NA,1.5,Qula,"#00a651""""",Dead
403905.76,3285087.76,NA,NA,0.8,NA,0.4,NA,1.6,Qula,"#00a651""""",Dead
403920.2,3285110.7,NA,NA,0.8,NA,0.4,NA,1.1,Qula,"#00a651""""",Dead
403925.68,3285116.24,NA,NA,0.8,NA,0.4,NA,1.8,Qula,"#00a651""""",Alive
403930.05,3285109.18,NA,NA,0.8,NA,0.4,NA,1.6,Qula,"#00a651""""",Dead
403930.72,3285112.44,NA,NA,0.8,NA,0.4,NA,1.2,Qula,"#00a651""""",Dead
403934.63,3285109.03,NA,NA,0.8,NA,0.4,NA,1.3,Qula,"#00a651""""",Dead
403937.18,3285107.38,NA,NA,0.8,NA,0.4,NA,1.8,Qula,"#00a651""""",Dead
403934.57,3285113.37,NA,NA,0.8,NA,0.4,NA,1.4,Qula,"#00a651""""",Alive
403932.88,3285120.35,NA,NA,0.8,NA,0.4,NA,1.4,Qula,"#00a651""""",Dead
403869.64,3285067.11,5,0.025,0.9,0.8,0.43,0.6,4.1,Qula,"#00a651""""",Alive
403854.79,3285074.11,NA,NA,0.9,NA,0.43,NA,1.9,Qula,"#00a651""""",Dead
403842.65,3285050.25,NA,NA,0.9,NA,0.45,NA,1.2,Qula,"#00a651""""",Dead
403862.07,3285065.27,NA,NA,0.9,NA,0.45,NA,1.5,Qula,"#00a651""""",Dead
403898.36,3285082.97,NA,NA,0.9,NA,0.45,NA,1.6,Qula,"#00a651""""",Dead
403902.44,3285091.06,NA,NA,0.9,NA,0.45,NA,1.5,Qula,"#00a651""""",Dead
403907.25,3285088.58,NA,NA,0.9,NA,0.45,NA,1.5,Qula,"#00a651""""",Dead
403912.01,3285093.4,NA,NA,0.9,NA,0.45,NA,2.1,Qula,"#00a651""""",Alive
403912.64,3285094.32,NA,NA,0.9,NA,0.45,NA,1.7,Qula,"#00a651""""",Alive
403916.63,3285093.1,NA,NA,0.9,NA,0.45,NA,1.4,Qula,"#00a651""""",Alive
403927.19,3285107.54,NA,NA,0.9,NA,0.45,NA,1.4,Qula,"#00a651""""",Dead
403930.88,3285108.73,NA,NA,0.9,NA,0.45,NA,1.6,Qula,"#00a651""""",Dead
403931.06,3285111.25,NA,NA,0.9,NA,0.45,NA,2.1,Qula,"#00a651""""",Dead
403940.78,3285105.52,NA,NA,0.9,NA,0.45,NA,1.8,Qula,"#00a651""""",Dead
403843.2,3285051.22,9,0.045,1.1,0.9,0.5,2.6,7.7,Qula,"#00a651""""",Alive
403855.36,3285071.84,8,0.04,1,NA,0.5,NA,1.9,Qula,"#00a651""""",Dead
403846.33,3285069.49,NA,NA,1,NA,0.5,NA,1.6,Qula,"#00a651""""",Dead
403851.49,3285062.72,NA,NA,1,NA,0.5,NA,1.4,Qula,"#00a651""""",Dead
403872.05,3285071.4,NA,NA,1,NA,0.5,NA,1.7,Qula,"#00a651""""",Dead
403870.35,3285080.01,NA,NA,1,NA,0.5,NA,1.6,Qula,"#00a651""""",Dead
403870.16,3285083.15,NA,NA,1,NA,0.5,NA,1.8,Qula,"#00a651""""",Dead
403889.82,3285079.6,NA,NA,1,NA,0.5,NA,2.5,Qula,"#00a651""""",Dead
403890.48,3285094.49,NA,NA,1,NA,0.5,NA,1.3,Qula,"#00a651""""",Dead
403892.41,3285099.45,NA,NA,1,NA,0.5,NA,1.6,Qula,"#00a651""""",Dead
403905.49,3285088.87,NA,NA,1,NA,0.5,NA,1.7,Qula,"#00a651""""",Dead
403910.73,3285089.72,NA,NA,1,NA,0.5,NA,1.8,Qula,"#00a651""""",Dead
403922.53,3285100.16,NA,NA,1,NA,0.5,NA,1.8,Qula,"#00a651""""",Dead
403927.31,3285102.09,NA,NA,1,NA,0.5,NA,1.7,Qula,"#00a651""""",Dead
403928.29,3285105.41,NA,NA,1,NA,0.5,NA,1.6,Qula,"#00a651""""",Dead
403928.07,3285107.01,NA,NA,1,NA,0.5,NA,1.7,Qula,"#00a651""""",Dead
403931.79,3285102.11,NA,NA,1,NA,0.5,NA,1.9,Qula,"#00a651""""",Dead
403929.42,3285120.57,NA,NA,1,NA,0.5,NA,1.2,Qula,"#00a651""""",Dead
403848.62,3285063.5,NA,NA,1,NA,0.52,NA,1.2,Qula,"#00a651""""",Dead
403870.25,3285081.76,6,0.03,1.3,0.8,0.53,2.6,4.8,Qula,"#00a651""""",Alive
403862.21,3285060.78,6.5,0.033,1.2,1,0.55,2.1,5.1,Qula,"#00a651""""",Alive
403837.35,3285053.01,NA,NA,1.1,NA,0.55,NA,1.4,Qula,"#00a651""""",Dead
