easting,northing,dbh.cm,stemrad.m,maxcanopy.m,mincanopy.m,canopyrad.m,firstbranch.m,height.m,species,color,status
403839.71,3285066.96,15.4,0.077,2.7,2,1.18,,4.8,Qula,"#00a651""""",Dead
403927.22,3285120,14.7,0.074,2.5,2.2,1.18,1.8,10.7,Qula,"#00a651""""",Alive
403857.8,3285071.79,10.3,0.052,3.1,1.8,1.23,2.1,7.6,Qula,"#00a651""""",Alive
403870.61,3285066.2,8.5,0.043,3.7,1.3,1.25,4.9,8,Qula,"#00a651""""",Alive
403860.79,3285066.82,9.7,0.049,3.6,1.4,1.25,1.2,6.9,Qula,"#00a651""""",Alive
403893.88,3285102.78,14.6,0.073,4.1,1.6,1.43,2.7,13.1,Qula,"#00a651""""",Alive
403868.05,3285061.58,10.2,0.051,3.7,2.8,1.63,1.4,8.9,Qula,"#00a651""""",Alive
403900.35,3285099.17,16.7,0.084,5,1.6,1.65,1.7,17.4,Qula,"#00a651""""",Alive
403933.32,3285113.35,15.5,0.078,4.5,2.3,1.7,1.6,7.2,Qula,"#00a651""""",Alive
403861.29,3285078.25,21,0.105,4.8,2.3,1.78,2.6,8.6,Qula,"#00a651""""",Alive
403858.1,3285066.33,15.4,0.077,4.7,3.1,1.95,2.5,9.4,Qula,"#00a651""""",Alive
403880.23,3285071.96,15.8,0.079,4.3,3.8,2.03,2.3,15.9,Qula,"#00a651""""",Alive
403839.76,3285067.6,13.7,0.069,4.7,4,2.18,3,10.1,Qula,"#00a651""""",Alive
403841.42,3285063.17,13.6,0.068,6.9,2.2,2.28,2.8,12.3,Qula,"#00a651""""",Alive
403910.98,3285088.25,22.8,0.114,7.3,2.8,2.53,1.9,14,Qula,"#00a651""""",Alive
403877.11,3285088.9,16.1,0.081,9,1.3,2.58,0.9,3.1,Qula,"#00a651""""",Horizontal
403845.69,3285069.18,19.8,0.099,5.4,5.2,2.65,2.1,14.2,Qula,"#00a651""""",Alive
403873.25,3285071.24,17.1,0.086,5.6,5.5,2.78,4.1,16,Qula,"#00a651""""",Alive
403878.58,3285069.04,16.7,0.084,6.3,5.6,2.98,2.3,18,Qula,"#00a651""""",Alive
403901.66,3285092.46,19.5,0.098,8,4.7,3.18,2.1,7.6,Qula,"#00a651""""",Alive
403883.65,3285094.02,25.8,0.129,7.9,5.1,3.25,2.2,14.6,Qula,"#00a651""""",Alive
403835.08,3285062.03,30.1,0.151,9.2,5.3,3.63,1.8,11.5,Qula,"#00a651""""",Alive
