mortonOrder,plotID,siteID,nlcdClass,plotType,subtype,applicableModules
23539,ONAQ_044,ONAQ,,tower,basePlot,bbc|bgc|cdw|dhp|hbp|ltr|mfb|sme|vst
31731,ONAQ_045,ONAQ,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
32755,ONAQ_046,ONAQ,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
39923,ONAQ_047,ONAQ,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
45043,ONAQ_048,ONAQ,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
48115,ONAQ_049,ONAQ,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
49139,ONAQ_050,ONAQ,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
51187,ONAQ_051,ONAQ,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
53235,ONAQ_052,ONAQ,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
61427,ONAQ_053,ONAQ,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
64499,ONAQ_054,ONAQ,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
65523,ONAQ_055,ONAQ,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
69619,ONAQ_056,ONAQ,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
73715,ONAQ_057,ONAQ,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
80883,ONAQ_058,ONAQ,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
81907,ONAQ_059,ONAQ,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
114675,ONAQ_060,ONAQ,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
118771,ONAQ_061,ONAQ,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
130035,ONAQ_062,ONAQ,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
147443,ONAQ_063,ONAQ,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
151539,ONAQ_064,ONAQ,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
162803,ONAQ_065,ONAQ,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
163827,ONAQ_066,ONAQ,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
176115,ONAQ_067,ONAQ,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
179187,ONAQ_068,ONAQ,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
198643,ONAQ_069,ONAQ,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
211955,ONAQ_070,ONAQ,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
491507,ONAQ_071,ONAQ,,tower,phenology,phe
779251,ONAQ_072,ONAQ,,tower,phenology,phe
5,TALL_001,TALL,deciduousForest,distributed,basePlot,bet|bgc|cdw|dhp|div|hbp|sme|vst
5,TALL_001,TALL,deciduousForest,distributed,birdGrid,brd
5,TALL_001,TALL,deciduousForest,distributed,tickPlot,tck
69,TALL_007,TALL,deciduousForest,distributed,basePlot,bet|bgc|cdw|dhp|div|hbp|vst
69,TALL_007,TALL,deciduousForest,distributed,tickPlot,
73,TALL_008,TALL,deciduousForest,distributed,basePlot,bet|cdw|dhp|div|hbp|vst
73,TALL_008,TALL,deciduousForest,distributed,tickPlot,tck
81,TALL_010,TALL,deciduousForest,distributed,basePlot,cdw|dhp|div|hbp|vst
