"startDateTime","endDateTime","tempSingleMean","tempSingleMinimum","tempSingleMaximum","tempSingleVariance","tempSingleNumPts","tempSingleExpUncert","tempSingleStdErMean","finalQF"
"2015-11-01T00:00:00Z","2015-11-01T00:01:00Z",11.61247338081560975808770308503881096839,11.55272188421178292117019736906513571739,11.74235166883355319100701308343559503555,0.003038389474837164226650454423861447139643,60,0.023232749841653556333032071279376395978,0.007116166424460532852203087372799927834421,1
"2015-11-01T00:01:00Z","2015-11-01T00:02:00Z",11.66450194503201309714768285630270838737,11.56352895256806867507748393109068274497,11.80592786448284314815282414201647043228,0.004827394288092685600832787429226300446316,60,0.0256368446576082965882026343251709477044,0.008969758718505832506551200822286773473024,1
"2015-11-01T00:02:00Z","2015-11-01T00:03:00Z",11.98726412508164607118033018196001648902,11.8131775473404108112163157784380018711,12.16894713566227181900103460066020488739,0.011453063115681134248591277469131455291,60,0.0330546555832606503422255173063604161143,0.0138160915334747339683341138538708037231,1
"2015-11-01T00:03:00Z","2015-11-01T00:04:00Z",12.092053806532982562771394441369920969,11.90582123350985632725951290922239422798,12.20434667527804784015188488410785794258,0.0120415380957725678956471426772623090073,60,0.0336345669583163198179676101062796078622,0.0141665910365270809184723432849750679451,1
"2015-11-01T00:04:00Z","2015-11-01T00:05:00Z",11.80067373649498563281667884439229965209,11.75614886121719493417003832291811704635,11.90163781256425679089261393528431653976,0.00140717380486574204084826433813759649638,60,0.02080982094772424254025544598789565498,0.004842819090959558404885232363312752568162,1
"2015-11-01T00:05:00Z","2015-11-01T00:06:00Z",11.72410251508171441514605248812586069107,11.62632030600164867450985184404999017715,11.80569218602305348042591504054144024848,0.002306437366456512861462302410586744372267,60,0.0221779581122175661889173170493450015783,0.006200050223528452177090830588213066221214,1
"2015-11-01T00:06:00Z","2015-11-01T00:07:00Z",11.78427489084618606796084350207820534706,11.64580373063420992707506229635328054428,11.87415751005783270954907493432983756065,0.006084507056103780758826715668874385301023,60,0.0272001733660724859253932095271011348813,0.0100701763110217189234329993041683337651,1
"2015-11-01T00:07:00Z","2015-11-01T00:08:00Z",11.4703508117986441305902189924381673336,11.39329434032880605798254691762849688529,11.6442616514093568724774740985594689846,0.004765944106572708380276104378481250023469,60,0.0255520902778977460068077220967097673565,0.008912485723759213523953448543579725082963,1
"2015-11-01T00:08:00Z","2015-11-01T00:09:00Z",11.37155657697705102293639356503263115882,11.16636312778570250259235763223841786384,11.4668711565941894292564029456116259098,0.006429997375755906220684554597255555563606,60,0.0275996663544142255275470887454503099434,0.0103521313230303009522703661104969796724,1
"2015-11-01T00:09:00Z","2015-11-01T00:10:00Z",11.02913456559433846848605753621086478233,10.97082590851209715765435248613357543945,11.15795981106582779318614484509453177452,0.002242390954581041737775359834472510556224,60,0.0220551791565934823813321941088361199945,0.006113360988552098661263922707576057291589,1
"2015-11-01T00:10:00Z","2015-11-01T00:11:00Z",10.9982032376513583216137703857384622097,10.86054889714625026897465431829914450645,11.05781836129709461147285765036940574645,0.002140571268849099199893526446203395607881,60,0.0218988898292484836238802614616361097432,0.00597295469714542899553055832484460552223,1
"2015-11-01T00:11:00Z","2015-11-01T00:12:00Z",10.893043824578359846100283903069794178,10.83126184825342086526234197663143277168,10.95795152402131300561904936330392956733,0.002307755505461730506644446592190433875657,60,0.0221436272175500811765225250837829662486,0.006201821648330069908228168173991434741765,1
"2015-11-01T00:12:00Z","2015-11-01T00:13:00Z",10.9381138226719318851110074319876730442,10.84079624363381455509625084232538938522,11.00355632613523226837060065008699893951,0.001278514769940830402006337607190289418213,60,0.020564630047933261935977355960858403705,0.004616121694562854219090475282882835017517,1
"2015-11-01T00:13:00Z","2015-11-01T00:14:00Z",10.95267289380993247505102772265672683715,10.81379372154485274393209692789241671562,11.09804872266061792629443516489118337631,0.0120083212638976300629112259343855839688,60,0.0335708816719016700513833484365022741258,0.0141470381257571779093362707158121338579,1
"2015-11-01T00:14:00Z","2015-11-01T00:15:00Z",11.00400153569056094227107678307220339775,10.91977173711869575356558925705030560493,11.06522257421964638979261508211493492126,0.00199582815736503533729506720817425957648,60,0.0216813199961964631068411790693062357604,0.00576747801233351824884421077399565547239,1
"2015-11-01T00:15:00Z","2015-11-01T00:16:00Z",11.05815085051429313978132995544001460075,10.89421550630893520406061725225299596786,11.16350994187741285657011758303269743919,0.008395775719223487476572387322448776103556,60,0.029835042168144462748635703519539674744,0.0118291840513363999409790494610206224024,1
"2015-11-01T00:16:00Z","2015-11-01T00:17:00Z",11.01109832945040345464349229587242007255,10.82987381885448741059008170850574970245,11.09154339685526302616835891967639327049,0.004168091842655704398756810746817791368812,60,0.0247515508411720597248262265566154383122,0.008334758387475611762784666325387661345303,1
"2015-11-01T00:17:00Z","2015-11-01T00:18:00Z",10.99269975120460429707236471585929393768,10.81897191890432630145824077771976590156,11.1116894606878791051940424949862062931,0.008800024823446290361816934932903677690774,60,0.0302746099378581774719254582350913551636,0.0121106184974497273210136683019300107844,1
"2015-11-01T00:18:00Z","2015-11-01T00:19:00Z",11.1893739384188855012780550168827176094,11.11930893699105382665948127396404743194,11.33247980328980730746479821391403675079,0.003681099251302669822516477893259434495121,60,0.0241069946790979684758671197641888284124,0.007832729676707719454475942200133431470021,1
"2015-11-01T00:19:00Z","2015-11-01T00:20:00Z",11.48433506322881036965100065572187304496,11.34354226121928732595733890775591135025,11.53921758285103216223888011882081627845,0.003164452512810930328440717218541067268233,60,0.0234018206164302751404182600936110247857,0.007262291319791261759442058121294394368305,1
