"","domainID","siteID","plotID","plotType","subtype","plotSize"
"1","D03","DSNY","DSNY_001","distributed","basePlot",1600
"2","D03","DSNY","DSNY_001","distributed","mammalGrid",8100
"3","D03","DSNY","DSNY_002","distributed","mammalGrid",8100
"4","D03","DSNY","DSNY_002","distributed","basePlot",1600
"5","D03","DSNY","DSNY_003","distributed","basePlot",1600
"6","D03","DSNY","DSNY_004","distributed","basePlot",1600
"7","D03","DSNY","DSNY_004","distributed","mammalGrid",8100
"8","D03","DSNY","DSNY_005","distributed","basePlot",1600
"9","D03","DSNY","DSNY_005","distributed","mammalGrid",8100
"10","D03","DSNY","DSNY_006","distributed","basePlot",1600
"11","D03","DSNY","DSNY_006","distributed","mammalGrid",8100
"12","D03","DSNY","DSNY_007","distributed","basePlot",1600
"13","D03","DSNY","DSNY_007","distributed","mammalGrid",8100
"14","D03","DSNY","DSNY_008","distributed","basePlot",1600
"15","D03","DSNY","DSNY_009","distributed","mammalGrid",8100
"16","D03","DSNY","DSNY_009","distributed","basePlot",1600
"17","D03","DSNY","DSNY_010","distributed","basePlot",1600
"18","D03","DSNY","DSNY_011","distributed","basePlot",1600
"19","D03","DSNY","DSNY_012","distributed","basePlot",1600
"20","D03","DSNY","DSNY_013","distributed","basePlot",1600
"21","D03","DSNY","DSNY_014","distributed","basePlot",1600
"22","D03","DSNY","DSNY_015","distributed","basePlot",1600
"23","D03","DSNY","DSNY_016","distributed","basePlot",1600
"24","D03","DSNY","DSNY_016","distributed","mammalGrid",8100
"25","D03","DSNY","DSNY_017","distributed","basePlot",1600
"26","D03","DSNY","DSNY_018","distributed","basePlot",1600
"27","D03","DSNY","DSNY_019","distributed","basePlot",1600
"28","D03","DSNY","DSNY_020","distributed","basePlot",1600
"29","D03","DSNY","DSNY_021","distributed","basePlot",1600
"30","D03","DSNY","DSNY_022","distributed","basePlot",1600
"31","D03","DSNY","DSNY_023","distributed","basePlot",1600
"32","D03","DSNY","DSNY_024","distributed","basePlot",1600
"33","D03","DSNY","DSNY_025","distributed","basePlot",1600
"34","D03","DSNY","DSNY_026","distributed","basePlot",1600
"35","D03","DSNY","DSNY_027","distributed","basePlot",1600
"36","D03","DSNY","DSNY_028","distributed","basePlot",1600
"37","D03","DSNY","DSNY_029","distributed","basePlot",1600
"38","D03","DSNY","DSNY_030","distributed","basePlot",1600
"39","D03","DSNY","DSNY_031","distributed","basePlot",1600
"40","D03","DSNY","DSNY_032","distributed","basePlot",1600
"41","D03","DSNY","DSNY_033","distributed","basePlot",1600
"42","D03","DSNY","DSNY_034","distributed","basePlot",1600
"43","D03","DSNY","DSNY_035","distributed","basePlot",1600
"44","D03","DSNY","DSNY_036","distributed","mammalGrid",8100
"45","D03","DSNY","DSNY_036","distributed","basePlot",1600
"46","D03","DSNY","DSNY_037","distributed","basePlot",1600
"47","D03","DSNY","DSNY_038","distributed","basePlot",1600
