"","domainID","siteID","plotID","plotType","subtype","plotSize"
"1","D01","BART","BART_041","tower","basePlot",1600
"2","D01","BART","BART_052","tower","phenology",40000
"3","D01","BART","BART_053","tower","phenology",40000
"4","D01","HARV","HARV_033","tower","basePlot",1600
"5","D01","HARV","HARV_034","tower","basePlot",1600
"6","D01","HARV","HARV_035","tower","basePlot",1600
"7","D01","HARV","HARV_036","tower","basePlot",1600
"8","D01","HARV","HARV_037","tower","basePlot",1600
"9","D01","HARV","HARV_038","tower","basePlot",1600
"10","D01","HARV","HARV_039","tower","basePlot",1600
"11","D01","HARV","HARV_040","tower","basePlot",1600
"12","D01","HARV","HARV_041","tower","basePlot",1600
"13","D01","HARV","HARV_042","tower","basePlot",1600
"14","D01","HARV","HARV_043","tower","basePlot",1600
"15","D01","HARV","HARV_044","tower","basePlot",1600
"16","D01","HARV","HARV_045","tower","basePlot",1600
"17","D01","HARV","HARV_046","tower","basePlot",1600
"18","D01","HARV","HARV_047","tower","basePlot",1600
"19","D01","HARV","HARV_048","tower","basePlot",1600
"20","D01","HARV","HARV_049","tower","basePlot",1600
"21","D01","HARV","HARV_050","tower","basePlot",1600
"22","D01","HARV","HARV_051","tower","basePlot",1600
"23","D01","HARV","HARV_052","tower","basePlot",1600
"24","D01","HARV","HARV_053","tower","phenology",40000
"25","D01","HARV","HARV_054","tower","phenology",40000
"26","D01","BART","BART_032","tower","basePlot",1600
"27","D01","BART","BART_033","tower","basePlot",1600
"28","D01","BART","BART_034","tower","basePlot",1600
"29","D01","BART","BART_036","tower","basePlot",1600
"30","D01","BART","BART_037","tower","basePlot",1600
"31","D01","BART","BART_039","tower","basePlot",1600
"32","D01","BART","BART_040","tower","basePlot",1600
"33","D01","BART","BART_042","tower","basePlot",1600
"34","D01","BART","BART_044","tower","basePlot",1600
"35","D01","BART","BART_046","tower","basePlot",1600
"36","D01","BART","BART_047","tower","basePlot",1600
"37","D01","BART","BART_050","tower","basePlot",1600
"38","D01","BART","BART_051","tower","basePlot",1600
"39","D01","BART","BART_070","tower","basePlot",1600
"40","D01","BART","BART_071","tower","basePlot",1600
"41","D01","BART","BART_072","tower","basePlot",1600
"42","D01","BART","BART_073","tower","basePlot",1600
"43","D01","BART","BART_074","tower","basePlot",1600
"44","D01","BART","BART_075","tower","basePlot",1600
